subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
BioN,Neuroscience,"Parkinson's disease is caused by the destruction of dopamine producing cells in the substantia nigra. The early symptoms of the disease are characterized by muscle rigidity and tremors. Based on this information, the substantia nigra is likely a part of which of following structures of the brain?",Hypothalamus,Basal ganglia,Limbic system,Hippocampus,B,"*The substantia nigra is a component of the basal ganglia.   
*Parkinson's disease is characterized by the destruction of dopaminergic neurons in this area, which causes muscle tremors and rigidity initially before affecting behavior and, eventually, cognition.   
*The hypothalamus is associated with the maintenance of homeostasis.   
*The limbic system is associated with emotion and some other functions.   
*The hippocampus is associated with memory.","*The substantia nigra is a component of the basal ganglia.  
*The hypothalamus, limbinc system, and hippocampus are associated with the maintenance of homeostasis, emotion, and memory, respectively."
BioN,Neuroscience,Which of the following is most associated with the amygdala?,Hunger,Muscular coordination,Drowsiness,Fear,D,"*The amygdala is most associated with fear and anger.   
*It is part of the limbic system and is linked to both aggressive and defensive responses to stressful stimuli.   
*Fear conditioning is thought to affect the amygdala.",*The amygdala is most associated with fear and anger. 
BioN,Neuroscience,"As compared to a normal, healthy individual, an individual with lesions to her amygdala would likely be:",less aggressive.,less hungry.,more sensitive to light.,more tired.,A,"*The amygdala is most associated with fear and anger.   
*It is part of the limbic system and is linked to both aggressive and defensive responses to stressful stimuli.   
*An individual with damage to her amygdala would likely be less aggressive and feel a lesser fear response.","*The amygdala is most associated with fear and anger.   
*Damage to the amygdala would likely result in decreased aggression."
BioN,Neuroscience,Which of the following is most associated with the formation of memory and learning?,Medulla oblongata,Pons,Hippocampus,Hypothalamus,C,"*The hippocampus is most associated with learning and memory formation.   
*It is considered to be part of the limbic system.   
*It plays a major role in the consolidation of short term memory to long term memory and navigation.",*The hippocampus is strongly associated with learning and memory.
BioN,Neuroscience,"Studies conducted on a patient known as H.M. allowed neuroscientists to better understand the role of the hippocampus in the brain. In order to treat debilitating seizures, H.M's hippocampus was removed, along with other areas of the brain. Which of the following most likely resulted?",Anterograde amnesia,Loss of appetite,Increased aggression,Loss of balance and coordination,A,"*The hippocampus is most associated with learning and memory formation.   
*It plays a major role in the consolidation of short term memory to long term memory and navigation.   
*Patient H.M. experienced anterograde amnesia and was unable to remember information learned after his surgery.   
*His previous memories remained largely intact.","*The hippocampus is strongly associated with learning and memory.  
*After removal of the hippocampus, H.M. developed anterograde amnesia."
Psy,Learning,"A young boy is frequently bullied by his brother. When he hears footsteps coming toward his room, he hides under his bed. On one occasion, the boy mistakes the sound of a basketball bouncing for his brother's footsteps and hides under his bed. What aspect of conditioning explains this behavior?",Generalization,Extinction,Discrimination,Spontaneous recovery,A,"*Generalization is an aspect of conditioning in which an individual is unable to distinguish between the conditioned stimulus and similar stimuli.   
*In this case, the boy has been conditioned to hide at the approach of his brother.   
*However, he mistakes the ball bouncing for footsteps, which triggers his behavioral response (hiding).",*Generalization is an aspect of classical conditioning in which the subject is unable to distinguish between the conditioned stimulus and other stimuli.
Psy,Learning,"A woman has trained her cat to come to her when she rings a bell. One day, she loses her bell and uses a recording of a similar sound in an attempt to attract the cat. However, the cat does respond to the recording. What psychological concept would best be used to explain the cat's behavior?",Generalization,Extinction,Discrimination,Spontaneous recovery,C,"*Discrimination is an aspect of conditioning in which the subject is able to distinguish between the conditioned stimulus and a different stimulus.   
*In this case, the cat is able to discriminate between the conditioned stimulus (the bell) and a different stimulus (the recording).",*Discrimination is an aspect of classical conditioning in which the subject can distinguish between the conditioned stimulus and other stimuli.
Psy,Learning,"A man was in a severe car accident as a child. For several years following the accident, he avoided cars and felt fearful and anxious whenever he entered one. Eventually, the man overcame his fear, got his driver's license, and drove regularly with few concerns. Many years later, he suddenly presented with the same fear and anxiety he had experienced as a childhood. What psychological concept would be most associated with the recurrence of these symptoms?",Generalization,Extinction,Discrimination,Spontaneous recovery,D,"*Spontaneous recovery is an aspect of classical conditioning in which a conditioned response that had not appeared for a period of time spontaneously reappears.   
*In this situation, the man was conditioned to feel fear and anxiety whenever he entered a car, but this response was lost over time.   
*The recurrence of the symptoms is an example of a spontaneous recovery of this conditioned response.",*Spontaneous recovery is the reappearance of a previously eliminated conditioned response.
Psy,Personality,A factory worker is paid a certain amount of money for each product she manufactures. This system is an example of which of the following forms of payment?,Fixed interval,Variable interval,Fixed ratio,Variable ratio,C,"*The payment system described is a fixed ratio system.   
*In a ratio system, individuals are rewarded upon completio of specific tasks.   
*In a fixed system, individuals are rewarded a constant amount across situations.","*This is a fixed ratio system.  
*The ratio aspect has individuals compensated for tasks completed.   
*The fixed aspect has individuals compensated a constant rate in all situations."
Psy,Personality,People who receive hourly wages are paid based on the amount of time they spend working. This system is an example of which of the following forms of payment?,Fixed interval,Variable interval,Fixed ratio,Variable ratio,A,"*The payment system described is a variable interval system.   
*In an interval system, individuals are rewarded for spending a set amount of time on a task.   
*In a fixed system, individuals are rewarded at a constant rate.","*This is a fixed interval system.
*The interval aspect has individuals compensated for time spent.  
*The fixed aspect has individuals compensated a constant rate at all situations."
Psy,Personality,"Sales people that work on commission are often paid a percentage of the revenue they generate. For example, a sales representative may be rewarded 10% of the revenue generated from the products they sell though the products are sold for different prices. This system is an example of which of the following forms of payment?",Fixed interval,Variable interval,Fixed ratio,Variable ratio,D,"*The payment scheme described is a variable ratio system.   
*In a ratio system, individuals are rewarded upon completion of specific tasks.   
*In a variable system, individuals are rewarded different amounts for accomplishing different tasks (selling pricier vs cheaper products, in this case).","*This is a variable ratio system.  
*The ratio aspect has individuals compensated for tasks completed.  
*The variable aspect has individuals compensated different rates for different situations."
Psy,Personality,"People who receive hourly wages are paid based on the amount of time they work. On weekends, the hourly payment increases by a factor of 1.5. This system is an example of which of the following forms of payment?",Fixed interval,Variable interval,Fixed ratio,Variable ratio,B,"*The payment scheme described is a variable interval system.   
*In an interval system, individuals are rewarded for spending a set amount of time on a task (hourly pay).   
*In a variable system, individuals are rewarded with different amounts in different situations (overtime).","*This is a variable interval system.  
*The interval aspect has individuals compensated for time spent.  
*The variable aspect has individuals compensated different rates in different situations."
Psy,Personality,"A man and his wife hear gunshots when walking in a major city. The man, who had never heard gunshots before, immediately panics. His wife grew up in a violent neighborhood and does not panic upon hearing the gunshots. Which of the following psychological concepts explain's the woman's response?",Habituation,Reflex,Taxis,Insight learning,A,"*Habituation occurs as an individuals show a decreased response to certain stimuli as the stimuli are presented repeatedly.   
*In this scenario, the man, who has never heard gunshots before, panics.   
*The woman, who has heard gunshots repeatedly, does not carry out her innate response.","*Habituation occurs as an individuals show a decreased response to certain stimuli as the stimuli are presented repeatedly.   
*The woman has encountered gunshots frequently and no longer responds."
Psy,Personality,Some animals instinctively cuddle together for warmth in cold weather. This instinctual behavior is an example of which of the following?,Habituation,Reflex,Taxis,Insight learning,C,"*Taxis is an innate behavior conducted in response to an external, directional stimulus.   
*In cold weather (the external stimulus), animals instinctively move towards other warm bodies (innate behavior).","*Taxis is an innate behavior conducted in response to an external, directional stimulus.  
*The animals move towards each other in response to cold. "
Psy,Personality,"A child who grew up in a town with a high level of violence learns to leave areas whenever he hears sirens. This is an example of which of the following types of learning?
",Escape learning,Avoidance learning,Habituation,Insight learning,B,"*Through avoidance learning, individuals learn certain behaviors in or order to avoid certain situations.   
*The individuals learn to associate certain stimuli with dangerous outcomes and therefore avoid the situation.   
*The child associates police sirens with violence and moves to distance himself from the possible source of harm.","*Through avoidance learning, individuals learn certain behaviors in reponse to certain stimuli in order to avoid negative situations.   
*The child associates police sirens with violence and moves to distance himself from the possible source of harm."
Psy,Personality,Obtaining funding is a major consideration for labs as they set out to establish themselves. Most labs acquire funding by submitting grant proposals in which investigators outline their studies and provide their initial findings. Which aspect of persuasion do these newly developed labs primarily consider as they write these grant proposals?,Message characteristics,Source characteristics,Target characteristics,Emotional characteristics,A,"*The message characteristics are the aspects of persuasion that deal with the structure and content of the argument itself.   
*As research labs start out, they appeal for funding primarily based on the strength of their ideas.   
*The submitted proposal is the message of the argument (give us funding), and the content of this message is the researchers' primary consideration.","*The message characteristics are the aspects of persuasion that deal with the structure and content of the argument itself.   
*The content of the grant proposal is the message of the argument and is the researchers' primary consideration."
Psy,Personality,"In attempting to change attitudes towards vaccination, members of the anti-vaccine movement has relied on the individuals presenting the data but not on the content of the data. What type(s) of cognitive route(s) are members of this movement utilizing?
   I. Central cognitive route
   II. Peripheral cognitive route
   III. Acute cognitive route",I only,II only,III only,I and II only,B,"*The peripheral route to attitude change makes use of the source of an argument in order to appeal to target individuals.   
*The peripheral route does not rely on the content or data presented in an argument.   
*In this case, the anti-vaccine relied heavily on high profile celebrities in order to gain traction and recognition. ","*The peripheral route to attitude change relies on the source of an argument but not the content in order to change attitudes.   
*These members of the anti-vaccine movement relied on celebrity endorsements to gain traction."
Psy,Personality,"In order to convince the public to purchase generic versions of brand name drugs, pharmaceutical companies present data that shows that generic drugs have equal efficacy at lower cost. What type(s) of cognitive route(s) are these companies utilizing?
   I. Central cognitive route
   II. Peripheral cognitive route
   III. Acute cognitive route",I only,II only,III only,I and II only,A,"*The central route to attitude change makes use of the content and data presented in an argument in order to appeal to target individuals.   
*The central route does not rely heavily on the characteristics of those individuals presenting the argument.   
*In this case, the pharmaceutical companies are presenting data supporting their argument without explicitly mentioning experts, scientists, and celebrities.","*The central route to attitude change makes use of the content and data presented but not the source of the argument.  
*The companies present data to support their views but not explicitly rely on experts and scientists."
Psy,Personality,"In order to support his policy decisions, the president uses experts in their fields to present data and further his argument. The content of the argument is used in conjunction with the prestige afforded by these experts. Which type(s) of cognitive route(s) is the president utilizing?
   I. Central cognitive route
   II. Peripheral cognitive route
   III. Acute cognitive route",I only,II only,III only,I and II only,D,"*The central route to attitude change makes use of the content and data presented in an argument in order to appeal to target individuals.   
*The peripheral route to attitude change makes use of the source of an argument in order to appeal to target individuals.   
*In order to further his own goals, the president is using both approaches: the experts present substantive data in a concerted effort to convince the audience.","*The central route to attitude change makes use of content and data.  
*The peripheral route to attitude change relies on the source of an argument.  
*The president is using both data and trusted sources in order to further his argument."
Psy,Personality,"Some studies indicate that a percentage of voters make decisions based on the perceived likeability of the candidate. Factors that influence likeability include physical appearance, quality of voice and charisma. Which element of persuasion are these voters primarily considering?",Message characteristics,Source characteristics,Target characteristics,Emotional characteristics,B,"*The source characteristics are the aspects of persuasion that deal with the individuals or organizations making the argument.   
*In this case, the electoral candidates are selected for based on their physical and personal characteristics.   
*The major source characteristics that are generally considered are trustworthiness, reliability (expertise), and attractiveness (charisma).","*Source characteristics are the aspects of persuasion that deal with the individuals or organizations making the argument.   
*In this case, the electoral candidates are selected for based on their physical and personal characteristics.   "
Psy,Personality,"A speaker is giving a persuasive lecture on a college campus. In order to relate to his audience and make his speech more compelling, he discusses parties and drinking. In doing this, what aspect of persuasion is the speaker considering?",The message characteristics,The source characteristics.,The target characteristics.,Emotional characteristics,C,"*The target characteristics are the aspects of persuasion that deal with the characteristics of the target audience.   
*In this case, the speaker is changing his argument in order to better appeal to the students that comprise his audience.   
*With these changes, he will better relate to his audience and maintain their engagement.","*The target characteristics are the aspects of persuasion that deal with the characteristics of the target audience.   
*The speaker is altering his argument to better relate to his audience."
Psy,Personality,"A student decides not to visit his friends over the course of the time he has set aside to study for a test. Though he does not find it difficult to do this, the student finds that he struggles to resist eating snacks as he studies. Which of the following concepts would a psychologist use to explain this phenomenon?",Operant conditioning,Changing environment,Classical conditioning,Emotional characteristics,D,"*Ego depletion is the idea that self-control is a finite and consumable resource.   
*The student is exerting self control in avoiding his friends, a task he is able to accomplish.   
*However, he finds that he lacks the self control to avoid eating snacks because this resource has been diminished.","*Ego depletion is the idea that self-control is a finite and consumable resource.   
*The student has the willpower to avoid his friends but does not have enough remaining to avoid snacking."
Psy,Learning,"A dog, Scout, is usually rowdy but when he sees food, he immediately calms down and behaves. Scout's owner like to heat Scout's food in the microwave before feeding him. (Scout likes his chicken hot). As a result whenever Scout hears the microwave beep to indicate food is ready, Scout immediately becomes obedient. This relationship between Scout's behavior and the sound of the microwave can be best described as which of the following?",Classical conditioning where the sound of the microwave changes from an unconditioned stimulus to an conditioned stimulus,Classical conditioning where the sound of the microwave changes from a neutral stimulus to an conditioned stimulus,Operant conditioning where the sound of the microwave changes from an unconditioned stimulus to an conditioned stimulus,Operant conditioning where the sound of the microwave changes from a neutral stimulus to an conditioned stimulus,B,"*The situation outlined is an example of classical condition that transforms a neutral stimulus to a condition stimulus.   
*In classical conditioning, an innate response is associated with an external stimulus.   
*This neutral stimulus becomes the conditioned stimulus which can be used to achieve a desired response.   
*In this case, the unconditioned response is good behavior at the sight of food and the neutral stimulus is the sound of the microwave. When the sound of the microwave becomes associated with food, it changes to a conditioned stimulus.","*The situation outlined is an example of classical condition that transforms a neutral stimulus to a condition stimulus.   
*The transformed stimulus is that of the microwave sound, which the dog associated with food."
Psy,Research,"A study was performed on a new, expensive drug found that it decreased the risk of contracting certain STDs. Those that purchased and took the drug had a significantly lower probability of contracting the disease than those that did not. However, when socioeconomic status was controlled for in subsequent studies, no significant impact was seen on disease contraction. In this scenario, socioeconomic status can be best described as a(n):",confounding variable.,independent variable.,dependent variable.,explanatory variable.,A,"*A confounding variable is an external (or unaccounted for) variable that distorts the relationship between the independent and dependent variable.   
*In this case, studies inappropriately determined a relationship between the drug and disease contraction because the studies did not account for socioeconomic status (the confounding variable).   
*Socioeconomic status, not the drug, was the real determinant of disease contraction.","*A confounding variable is external, unexamined variable that distorts the relationship between the dependent and independent variables.   
*Socioeconomic status is the confounding variable in that it was found to be a determinant of disease contraction."
Psy,Research,"A study examines the relationship between recent termination of employment and alcohol consumption. The study found that those fired or laid off in the preceding year had a higher rate of alcohol consumption than employed individuals. When a second study was performed on adults who were fired or laid off and had a diagnosis of depression, the average alcohol consumption was even greater. It is hypothesized that termination of employment leads to increased prevalence of depression, which then affects alcohol consumption. If this hypothesis is true, depression can be best described as a(n):",mediator variable.,independent variable.,dependent variable.,explanatory variable.,A,"*A mediator variable explains the relationship between the measured independent and dependent variables.   
*In the example examined here, the independent variable is employment status.   
*The dependent variable is alcohol consumption.    
*The study seems to indicate that a loss of employment may lead to depression, which, in turn, leads to an increase in alcohol consumption, making the occurrence of depression a mediating variable.","*A mediator variable explains the relationship between the measured independent and dependent variables.   
*In this example, depression is hypothesized to explain the relationship between the independent variable (employment status) and the dependent variable (alcohol consumption)."
Psy,Vision,"Strabismus amblyopia is a disorder of the vision where the eyes do not properly align. Usually patients with strabismus amblyopia favor their better eye, while the other eye has difficulty focusing properly. This will most likely affect the patient's ability to recognize:",brightness.,color.,binocular cues.,faces.,C,"*Binocular cues are bits of information that are taken in by both eyes that are used to support depth perception.   
*The brain uses the images collected by both eyes to make determinations of distance.   
*Since objects in the two images will differ in their location by some angle, the brain is able to finely triangulate the objects' position.   
*Patients with strabismus amblyopia predominantly use one eye and therefore only access one image.","*Binocular cues are bits of information that are taken in by both eyes that are used to support depth perception.   
*Individuals that only use one eye are unable to utilize these binocular cues."
Psy,Disorders,Panic attacks are most associated with which of the following categories of mental disorders?,Depressive disorder,Personality disorder,Obsessive-compulsive and related disorders,Anxiety disorder,D,"*Anxiety disorders are characterized by inappropriate feelings of fear to current events and anxiety for future events.   
*A panic attack is an extreme form of this fear in which subjects suffers from brief attacks of terror.    
*Symptoms include dizziness, shaking, nausea, difficulty breathing, and confusion.","*Anxiety disorders are characterized by inappropriate feelings of fear and anxiety.   
*A panic attack is an extreme form of this fear."
Psy,Relationships,"A student begins college and becomes friends with a group of students obsessed with grades. They take adderall to stay up all night and think any grade less than perfect is a failure. The student, who used to balance school and socializing well, now becomes fixated on his grades. He hardly sleeps and is constantly stressed. This change in behavior from the norm can be best attributed to which of the following theories?",Theory of differential association,Labelling theory,Strain theory,Deindividuation,A,"*The theory of differential association predicts a change of behavior reflective of the people subjects spend time with.   
*This change in behavior may deviate from social norms and is a subcategory of deviance.   
*In this case, the student is influenced by his new friends' obsession with grades even though society would find this behavior extreme.","*According to the theory of differential association, individuals change their behavior in order to reflect that of those they spend time with.   
*The student demonstrates extreme behavior that matches the behavior of his friends."
Psy,Relationships,"One argument about the association between poverty and crime says that impoverished people lack the resources and necessities to improve their lives. As a result, they have to look for alternative means, often illegal, to makes ends meet. This deviant behavior from the norm can be best attributed to which of the following theories?",Theory of differential association,Labelling theory,Strain theory,Deindividuation,B,"*According to strain theory, an individual's behavior may deviate from the norm when society does not meet his/her needs.    
*The individual then turns to this deviant behavior to meet these needs and is considered to be a subcategory of deviance.   
*In this case, the criminal behavior (the deviation from the norm) is a result of unmet needs.","*According to strain theory, unmet needs in society may cause an increase in deviant behavior.   
*Some people lacking basic necessities turn to crime to make ends meet."
GenChem,Atomic Structure,The atomic number of a chemical element refers to:,the number of neutrons present in the nucleus.,the number of electrons in atomic orbitals.,the number of protons in the nucleus.,the total number of protons and neutrons in the nucleus.,C,"*The atomic number refers to the number of protons present in the nucleus. 
*The number of protons present in the nucleus is the sole determinant of a chemical element's identity. 
*The number of electrons and neutrons determine the ion and isotope, respectively.","*The atomic number is the number of protons in the nucleus.
*It determines the identity of the element.
"
GenChem,Atomic Structure,Which of the following corresponds to an electron's shell or energy level?,the magnetic quantum number.,the principal quantum number. ,the azimuthal quantum number.,the spin quantum number.,B,"*The principal quantum number n refers to an electron's shell or energy level. 
*The azimuthal quantum number l refers to an electron's subshell (s, p, d etc). 
*The magnetic quantum number m_l refers to an electron's specific orbital. 
*The (magnetic) spin quantum number m_s refers to the electron's spin (conventionally shown as up or down).",*The principal quantum number n refers to an electron's shell. 
GenChem,Atomic Structure,Which of the following corresponds to an electron's specific orbital in an atom?,the magnetic quantum number.,the principal quantum number. ,the azimuthal quantum number.,the spin quantum number.,A,"*The magnetic quantum number m_l refers to an electron's specific orbital. 
*The principal quantum number n refers to an electron's shell or energy level. 
*The azimuthal quantum number l refers to an electron's subshell (s, p, d etc). 
*The (magnetic) spin quantum number m_s refers to the electron's spin (conventionally shown as up or down).",*The magnetic quantum number m_l refers to an electron's specific orbital.
GenChem,Atomic Structure,Which of the following corresponds to an electron's atomic subshell?,the magnetic quantum number.,the principal quantum number. ,the azimuthal quantum number.,the spin quantum number.,C,"*The azimuthal quantum number l refers to an electron's subshell (s, p, d etc). 
The principal quantum number n refers to an electron's shell or energy level. 
*The magnetic quantum number m_l refers to an electron's specific orbital. 
*The (magnetic) spin quantum number m_s refers to the electron's spin (conventionally shown as up or down).","*The azimuthal quantum number l refers to an electron's subshell (s, p, d etc). "
GenChem,Atomic Structure,Which of the following an electron's spin within an orbital?,the magnetic quantum number.,the principal quantum number. ,the azimuthal quantum number.,the spin quantum number.,D,"*The (magnetic) spin quantum number m_s refers to the electron's spin (conventionally shown as up or down). 
*The magnetic quantum number m_l refers to an electron's specific orbital. 
*The azimuthal quantum number l refers to an electron's subshell (s, p, d etc). 
*The principal quantum number n refers to an electron's shell or energy level. ",*The (magnetic) spin quantum number m_s refers to the electron's spin (conventionally shown as up or down). 
GenChem,Atomic Structure,Knowing which of the following would NOT be necessary in order to determine an electron's atomic orbital?,the magnetic quantum number.,the principal quantum number. ,the azimuthal quantum number.,the spin quantum number.,D,"*Knowing an electron's magnetic spin quantum number would not be necessary in determining its orbital. 
*The principal quantum number gives its electron shell (n = 1, 2, 3, etc), the azimuthal quantum numbers gives its subshell (s, p, d, etc), and the magnetic quantum number gives its orbital (p_x, p_y, p_z, etc). 
*The spin number identifies electrons within an orbital.","*Knowing an electron's magnetic spin quantum number would not be necessary in determining its orbital. 
*The principal quantum number gives its electron shell, the azimuthal quantum numbers gives its subshell, and the magnetic quantum number gives its orbital. "
GenChem,Atomic Structure,Which of the following periodic groups is likely to have the smallest first ionization energies?,Alkali metals,Alkali earth metals,Chalcogens.,Halogens.,A,"*The alkali metals have the lowest first ionization energies. 
*The ionization energy is the energy required to remove an electron from an atom in its gaseous state. 
*The alkali metals have only one electron in their valence shells. Upon losing this electron, the gain a full valence shell and stability. 
*Ionization energy increases from left to right across the periodic table.","*The alkali metals have the lowest first ionization energies. 
*Ionization energy increases from left to right across the periodic table."
GenChem,Bonding,Hydrogen bonds are strong dipole-dipole interactions created when hydrogen is bonded to a highly electronegative molecule. Hydrogens bonded to all of the following atoms would be capable of forming hydrogen bonds EXCEPT:,nitrogen.,oxygen.,fluorine.,chlorine.,D,"*Hydrogens must be bound to nitrogen, oxygen, or fluorine in order to participate in hydrogen bonds. 
*Hydrogen bonds are particularly strong dipole-dipole interactions that occur when hydrogens are covalently bonded to these elements. 
*Note: hydrogen bonds are intermolecular forces that require the presence of this strong dipole.","*To form hydrogen bonds, participating hydrogens must be covalently bonded to oxygen, nitrogen, or fluorine. "
GenChem,Atomic Structure,What is the maximum number of electrons that can be accomodated by the fourth (n = 4) atomic electron shell?,2,8,18,32,D,"*The formula 2n^2 can be used to show that the fourth electron shell can hold a total of 32 electrons (n = 3). 
*The one 4s orbital can hold two electrons, the three 4p orbitals can hold six electrons, the five 4d orbitals can hold ten electrons, and the seven 4f orbitals can hold 14 electrons.","*The third atomic shell can hold 32 electrons:
2n^2 where n = 4."
GenChem,Atomic Structure,What is the maximum number of electrons that can be accomodated by the third (n = 3) atomic electron shell?,2,8,18,32,C,"*The formula 2n^2 can be used to show that the third electron shell can hold a total of 18 electrons (n = 3). 
*The one 3s orbital can hold two electrons, the three 3p orbitals can hold six electrons, and the five 3d orbitals can hold ten electrons.","*The third atomic shell can hold 18 electrons:
2n^2 where n = 3."
GenChem,Atomic Structure,What is the maximum number of electrons that can be accomodated by the second (n = 2) atomic electron shell?,2,8,18,32,B,"*The formula 2n^2 can be used to show that the second electron shell can hold a total of eight electrons (n = 2). 
*The one 2s orbital can hold two electrons, and the three 2p orbitals can hold six electrons.","*The second atomic shell can hold 8 electrons:
2n^2 where n = 2."
GenChem,Acids and Bases,"Of the following, which is the strongest acid? That is, which will ionize most completely in an aqueous solution?",HF,HBr,HCl,HI,D,"*Hydroiodic acid is the strongest acid listed. 
*Its conjugate base I^- is the largest and is the most capable of stabilizing its negative charge over its surface. 
*The size difference between iodine and hydrogen also contributes to instability of the bond between them. ","*HI is the strongest acid listed.
*It's conjugate base I^- has the largest surface area and is most capable of stabilizing a negative charge."
GenChem,Acids and Bases,"Of the following, which is the weakest acid? That is, which acid would be expected to have the smallest K_a in an aqueous solution?",HF,HBr,HCl,HI,A,"*Hydrofluoric acid (HF) is the weakest acid listed. 
*Its conjugate base, F^-, is the least stable and has the smallest surface area over which it can stabilze its negative charge. 
*The bond between hydrogen and fluoride is also the strongest as these two elements have the smallest size difference of the possibilities listed.","*HF is the weakest acid listed.
*It's conjugate base F^- has the smallest surface area and is least capable of stabilizing a negative charge."
GenChem,Acids and Bases,"What is the hydroxide ion concentration in a one liter aqueous solution with a pH of 4 at 25› C? (Assume the autoionization constant, K_w, of water is equal to 10^{-14} M^2.)",1.0*10^-4,4.0*10^-10,1.0*10^-10,1.0*10^-7,C,"*In a solution with a pH of 4, the hydroxide concentration will be 10^{-10) M. 
*The autoionization constant K_w (10^{-14}) is the equilibrium constant for the following reaction:
H_2O (l) <--> OH^- (aq) + H^+ (aq)
The pH tells us that [H^+] is equal to 10^{-4}. Plugging these values into the equilibrium equation, we can solve for [OH^-]:
K_w = [H^+][OH^-]
[OH^-] = K_w/[H^+] = 10^{-14}/[10^{-4)] = 10^{-10)","*[OH^-] = K_w/[H^+] = 10^{-14}/[10^{-4)] = 10^{-10)
*The K_w is the equilibrium constant for the following reaction:
H_2O (l) <--> OH^- (aq) + H^+ (aq)
so K_w = [H^+][OH^-]
"
GenChem,Acids and Bases,All of the following are amphoteric species EXCEPT:,NH3.,H2SO4.,H2O.,HCO3-.,B,"*Sulfuric acid (H_2SO_4) is not an amphoteric species as it cannot accept a proton. 
*Amphoteric molecules act as both acids and bases. 
*The other options listed are amphoteric in that they can both donate and accept protons.","*Sulfuric acid (H_2SO_4) is not an amphoteric species as it cannot accept a proton. 
*Amphoteric molecules can both donate and accept protons."
GenChem,Acids and Bases,"All of the following are strong acids, that is, they are said to disassociate completely in solution, EXCEPT:",HCl,HF,H2SO4,HOClO3,B,"*Hydrochloric (HCl), sulfuric (H2SO4), and perchloric acids (HOClO3) are strong acids that disassociate nearly completely in solution. 
*Their conjugate bases are very stable and are able to stabilize their negative chanrges. 
*Hydrofluoric acid (HF) is a weak acid as its conjugate base is too small to stabilize a negative charge over its surface.","*H2SO4, HCl, and HOClO3 are all strong acids that disassociate nearly completely in solution.
*HF is a weak acid as its conjugate base, fluoride, is less able to stabilize a negative charge."
GenChem,Acids and Bases,A Lewis acid is defined as a compound that is able to:,accept a pair of electrons.,donate a pair of electrons.,accept a proton.,donate a proton.,A,"*Lewis acids are electron pair acceptors. 
*Bronsted-Lowry acids and Arrhenius acids are both defined as proton donors.
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Lewis acids are electron pair acceptors.
GenChem,Acids and Bases,A Lewis base is defined as a compound that is able to:,accept a pair of electrons.,donate a pair of electrons.,accept a proton.,donate a proton.,B,"*Lewis bases are electron pair donors. 
*Bronsted-Lowry bases are proton acceptors. 
*Arrhenius bases are hydroxide donors. 
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Lewis bases are electron pair donors. 
GenChem,Acids and Bases,A Bronsted-Lowry acid is defined as a compound that is able to:,accept a pair of electrons.,donate a pair of electrons.,accept a proton.,donate a proton.,D,"*Bronsted-Lowry acids and Arrhenius acids are both defined as proton donors.
*Lewis acids are electron pair acceptors. 
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Bronsted-Lowry acids are proton donors.
GenChem,Acids and Bases,A Bronsted-Lowry base is defined as a compound that is able to:,accept a pair of electrons.,donate a pair of electrons.,accept a proton.,donate a proton.,C,"*Bronsted-Lowry bases are proton acceptors.
*Lewis bases are electron pair donors. 
*Arrhenius bases are hydroxide donors. 
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Bronsted-Lowry bases are proton acceptors.
GenChem,Acids and Bases,An Arrhenius acid is defined as a compound that is able to:,accept a pair of electrons.,donate a pair of electrons.,accept a proton.,donate a proton.,D,"*Bronsted-Lowry acids and Arrhenius acids are both defined as proton donors.
*Lewis acids are electron pair acceptors. 
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Arrhenius acids are proton donors.
GenChem,Acids and Bases,An Arrhenius base is defined as a compound that is able to:,accept a hydroxide.,donate a hydroxide.,accept a proton.,donate a proton.,B,"*Arrhenius bases are hydroxide donors. 
*Bronsted-Lowry bases are proton acceptors. 
*Lewis bases are electron pair donors. 
*The Lewis definitions of acids and bases are the most inclusive while the Arrhenius definitions are the least inclusive.",*Arrhenius bases are hydroxide donors. 
GenChem,Acids and Bases,"When a 100.0 mL solution of 0.5 M NaOH is titrated against 50.0 mL of an aqueous solution of HCl of unknown concentration, the pH of the equivalence point will most likely be:",2,5,7,10,C,"*When a strong base (NaOH) is used to neutralize a strong acid (HCl), the resulting solution will likely be neutral (pH = 7). 
*The relevent neutralization reaction is:
HCl (aq) + NaOH (aq) <--> NaCl (aq) + H_2O (l)
*The ions present in solution are neither acidic nor basic. 
*The pH of the solution will then become the pH of neutral water, seven. In this case, the equivalence point pH does not depend on the absolute amounts of acid and base present.","*Neutralization of a strong acid with a strong base yields a neutral (pH = 7) equivalence point.
*The products of the neutralization are neither acidic nor basic."
